Time,Entropy(log2)
1.543086172344689366e+01,4.444610309765684164e+00
1.547094188376753365e+01,4.444634205083383804e+00
1.551102204408817542e+01,4.445153051020551693e+00
1.555110220440881719e+01,4.446352114198310446e+00
1.559118236472945895e+01,4.448440557283206864e+00
1.563126252505009894e+01,4.451560853223570646e+00
1.567134268537074071e+01,4.455810936635368869e+00
1.571142284569138248e+01,4.461218220277097579e+00
1.575150300601202424e+01,4.467729994352458434e+00
1.579158316633266423e+01,4.475210880425922966e+00
1.583166332665330600e+01,4.483446255260952640e+00
1.587174348697394777e+01,4.492171902946853201e+00
1.591182364729458776e+01,4.501083533408016812e+00
1.595190380761522952e+01,4.509854214434391828e+00
1.599198396793587129e+01,4.518148227631871627e+00
1.603206412825651128e+01,4.525641606609773326e+00
1.607214428857715305e+01,4.532013907937852970e+00
1.611222444889779482e+01,4.536992085627133520e+00
1.615230460921843658e+01,4.540351627726309403e+00
1.619238476953907835e+01,4.541927036012213037e+00
1.623246492985972012e+01,4.541611070808245998e+00
1.627254509018035833e+01,4.539353809073113588e+00
1.631262525050100010e+01,4.535152118995098292e+00
1.635270541082164186e+01,4.529040887715043873e+00
1.639278557114228363e+01,4.521077090471188775e+00
1.643286573146292540e+01,4.511332191987335705e+00
1.647294589178356716e+01,4.499889929321994941e+00
1.651302605210420893e+01,4.486852333689932415e+00
1.655310621242485070e+01,4.472339049225646512e+00
1.659318637274548891e+01,4.456490816231496233e+00
1.663326653306613068e+01,4.439471562179994280e+00
1.667334669338677244e+01,4.421471990510694283e+00
1.671342685370741421e+01,4.402708736873219841e+00
1.675350701402805598e+01,4.383425383990470436e+00
1.679358717434869774e+01,4.363862795256275184e+00
1.683366733466933951e+01,4.344270199775628782e+00
1.687374749498997772e+01,4.324901083107402400e+00
1.691382765531061949e+01,4.306005909904704332e+00
1.695390781563126126e+01,4.287823019341010955e+00
1.699398797595190302e+01,4.270569490823023173e+00
1.703406813627254479e+01,4.254431139051054522e+00
1.707414829659318656e+01,4.239553980176766323e+00
1.711422845691382832e+01,4.226038202069601013e+00
1.715430861723446654e+01,4.213947860428709724e+00
1.719438877755510831e+01,4.203303111291933014e+00
1.723446893787575007e+01,4.194091286569181953e+00
1.727454909819639184e+01,4.186267544608181623e+00
1.731462925851703361e+01,4.179767627700271326e+00
1.735470941883767537e+01,4.174519338672311619e+00
1.739478957915831714e+01,4.170437793881483834e+00
1.743486973947895891e+01,4.167420880315908960e+00
1.747494989979959712e+01,4.165368318845078299e+00
1.751503006012023889e+01,4.164192349266456539e+00
1.755511022044088065e+01,4.163825490947343333e+00
1.759519038076152242e+01,4.164204934967846938e+00
1.763527054108216419e+01,4.165273988409023076e+00
1.767535070140280595e+01,4.167014560093206477e+00
1.771543086172344772e+01,4.169444228324896251e+00
1.775551102204408593e+01,4.172609978483018622e+00
1.779559118236472770e+01,4.176581058260142143e+00
1.783567134268536947e+01,4.181438019090008673e+00
1.787575150300601123e+01,4.187268572700745040e+00
1.791583166332665300e+01,4.194152488146048796e+00
1.795591182364729477e+01,4.202125530923836116e+00
1.799599198396793653e+01,4.211198768510088009e+00
1.803607214428857475e+01,4.221273501731415578e+00
1.807615230460921651e+01,4.232200329482864731e+00
1.811623246492985828e+01,4.243787929699405659e+00
1.815631262525050005e+01,4.255812713519513402e+00
1.819639278557114181e+01,4.268030692304636275e+00
1.823647294589178358e+01,4.280189171757222688e+00
1.827655310621242535e+01,4.292036965166401430e+00
1.831663326653306711e+01,4.303344427951402373e+00
1.835671342685370533e+01,4.313908082161167279e+00
1.839679358717434710e+01,4.323500591891023426e+00
1.843687374749498886e+01,4.331890095840364552e+00
1.847695390781563063e+01,4.338890513247371850e+00
1.851703406813627240e+01,4.344364473944505534e+00
1.855711422845691416e+01,4.348226282936161091e+00
1.859719438877755593e+01,4.350439903660910268e+00
1.863727454909819414e+01,4.351023281414383881e+00
1.867735470941883591e+01,4.350059753390321582e+00
1.871743486973947768e+01,4.347688115777823548e+00
1.875751503006011944e+01,4.344034750460447292e+00
1.879759519038076121e+01,4.339251106569895100e+00
1.883767535070140298e+01,4.333519356381521526e+00
1.887775551102204474e+01,4.327051217835100161e+00
1.891783567134268296e+01,4.320085605731852851e+00
1.895791583166332472e+01,4.312835632492305393e+00
1.899799599198396649e+01,4.305507134723933760e+00
1.903807615230460826e+01,4.298297740842363268e+00
1.907815631262525002e+01,4.291376170921155975e+00
1.911823647294589179e+01,4.284878573350614062e+00
1.915831663326653356e+01,4.278911243377741869e+00
1.919839679358717532e+01,4.273550861717068550e+00
1.923847695390781354e+01,4.268846597477773841e+00
1.927855711422845530e+01,4.264830381072555632e+00
1.931863727454909707e+01,4.261518792031643521e+00
1.935871743486973884e+01,4.258934056961390269e+00
1.939879759519038060e+01,4.257111631955959652e+00
1.943887775551102237e+01,4.256043968977459180e+00
1.947895791583166414e+01,4.255742348732730385e+00
1.951903807615230235e+01,4.256212009848713507e+00
1.955911823647294412e+01,4.257476521501082800e+00
1.959919839679358589e+01,4.259578378512360430e+00
1.963927855711422765e+01,4.262550437177250018e+00
1.967935871743486942e+01,4.266409031343143532e+00
1.971943887775551119e+01,4.271172948346659837e+00
1.975951903807615295e+01,4.276861343881367183e+00
1.979959919839679117e+01,4.283426086381519227e+00
1.983967935871743293e+01,4.290825489828723249e+00
1.987975951903807470e+01,4.298988148026327671e+00
1.991983967935871647e+01,4.307789483746169878e+00
1.995991983967935823e+01,4.317050338426450473e+00
2.000000000000000000e+01,4.326548551873207415e+00
