# time correlation fidelity
5.811623246492986006e+00 -5.407074484508297418e-01 9.354191721995209006e-10
5.851703406813626884e+00 -5.097029187770151237e-01 9.401607325478913730e-10
5.891783567134268651e+00 -4.782910498492408680e-01 9.237815242096022057e-10
5.931863727454909530e+00 -4.465535353178941569e-01 8.854045420297742744e-10
5.971943887775551296e+00 -4.145740771871457842e-01 8.252380346803226831e-10
6.012024048096192175e+00 -3.824382866374343992e-01 7.447969490456690220e-10
6.052104208416833053e+00 -3.502335073008910338e-01 6.473333516434518604e-10
6.092184368737474820e+00 -3.180485695075969121e-01 5.387114356507238348e-10
6.132264529058115698e+00 -2.859726000721869998e-01 4.291298472855832965e-10
6.172344689378757465e+00 -2.540960814773920995e-01 3.362210997811334303e-10
6.212424849699398344e+00 -2.225115966917795007e-01 2.904411939705854947e-10
6.252505010020040110e+00 -1.913094419586664208e-01 3.443634672497106841e-10
6.292585170340680989e+00 -1.605821136000864513e-01 5.876999233791408554e-10
6.332665330661322756e+00 -1.304214567171445016e-01 1.171908805876964985e-09
6.372745490981963634e+00 -1.009179408522668103e-01 2.349176216539518510e-09
6.412825651302604513e+00 -7.216278474416878974e-02 4.532627098034327901e-09
6.452905811623246279e+00 -4.424421391538885251e-02 8.392106633661876011e-09
6.492985971943887158e+00 -1.724971667669895903e-02 1.499684164108994317e-08
6.533066132264528925e+00 8.734358597208283920e-03 2.603222334552329720e-08
6.573146292585169803e+00 3.362579712945212157e-02 4.412951194467326576e-08
6.613226452905811570e+00 5.734327891335146143e-02 7.333947765826466923e-08
6.653306613226452448e+00 7.980943848208427172e-02 1.198441085193764023e-07
6.693386773547094215e+00 1.009504622540219887e-01 1.929733245253140588e-07
6.733466933867735094e+00 1.206949669626616178e-01 3.066512644636693183e-07
6.773547094188376860e+00 1.389773841580715097e-01 4.815014881790039639e-07
6.813627254509017739e+00 1.557354962883389371e-01 7.477214905678939605e-07
6.853707414829658617e+00 1.709117120868944573e-01 1.149139138800835798e-06
6.893787575150300384e+00 1.844543677856337605e-01 1.748816861298059414e-06
6.933867735470941263e+00 1.963161406052929547e-01 2.636591135140111970e-06
6.973947895791583029e+00 2.064557161681327135e-01 3.939383936726181773e-06
7.014028056112223908e+00 2.148376020482282434e-01 5.834925363920854012e-06
7.054108216432865675e+00 2.214321166797559304e-01 8.569922178216563116e-06
7.094188376753506553e+00 2.262159830432499130e-01 1.248401132333929591e-05
7.134268537074148320e+00 2.291722259600345035e-01 1.804082966195764195e-05
7.174348697394789198e+00 2.302902965408733793e-01 2.586805831325648285e-05
7.214428857715430965e+00 2.295661423619280161e-01 3.680851296962371860e-05
7.254509018036071843e+00 2.270023925436465972e-01 5.198490731316682723e-05
7.294589178356712722e+00 2.226082925391811573e-01 7.288084112836584489e-05
7.334669338677354489e+00 2.163996583435405519e-01 1.014412646107706796e-04
7.374749498997995367e+00 2.083988354511237262e-01 1.401959270028105818e-04
7.414829659318637134e+00 1.986346621958720304e-01 1.924097070596088538e-04
7.454909819639278012e+00 1.871423096740103542e-01 2.622634874196865819e-04
7.494989979959919779e+00 1.739631077207963450e-01 3.550696211650429166e-04
7.535070140280560658e+00 1.591443861541653182e-01 4.775260923030089674e-04
7.575150300601202424e+00 1.427392752833635536e-01 6.380128570797441749e-04
7.615230460921843303e+00 1.248063890784725377e-01 8.469326130062286790e-04
7.655310621242485070e+00 1.054095707863790116e-01 1.117098670624048443e-03
7.695390781563125948e+00 8.461762120434206114e-02 1.464170444613266875e-03
7.735470941883766827e+00 6.250401435450686494e-02 1.907135506331395988e-03
7.775551102204408593e+00 3.914640305081527188e-02 2.468831156323202103e-03
7.815631262525049472e+00 1.462632203785504438e-02 3.176503913595443880e-03
7.855711422845691239e+00 -1.097116200499081984e-02 4.062394763736990738e-03
7.895791583166332117e+00 -3.755776165898046942e-02 5.164338499447819995e-03
7.935871743486973884e+00 -6.504259191664059359e-02 6.526347434144939667e-03
7.975951903807614762e+00 -9.333250157186541440e-02 8.199172197570879159e-03
8.016032064128255641e+00 -1.223324397851378587e-01 1.024080520420327274e-02
8.056112224448897408e+00 -1.519457653625038984e-01 1.271689854697310128e-02
8.096192384769539174e+00 -1.820748879725256064e-01 1.570103530685205279e-02
8.136272545090179165e+00 -2.126216584925939013e-01 1.927484101898594565e-02
8.176352705410820931e+00 -2.434876749737966417e-01 2.352788667818792034e-02
8.216432865731462698e+00 -2.745745882176915398e-01 2.855733332458501583e-02
8.256513026052104465e+00 -3.057846185807611694e-01 3.446724731268417663e-02
8.296593186372744455e+00 -3.370210476330427474e-01 4.136756024184874703e-02
8.336673346693386222e+00 -3.681883984224194051e-01 4.937266361625507194e-02
8.376753507014027988e+00 -3.991927122672809802e-01 5.859956754847939903e-02
8.416833667334669755e+00 -4.299418858192035064e-01 6.916559512396956710e-02
8.456913827655309746e+00 -4.603462225769949234e-01 8.118559052594663539e-02
8.496993987975951512e+00 -4.903184880108681920e-01 9.476873580141736975e-02
8.537074148296593279e+00 -5.197741187256742501e-01 1.100149160165596190e-01
8.577154308617233269e+00 -5.486313857826218277e-01 1.270106989277046405e-01
8.617234468937875036e+00 -5.768119223306724663e-01 1.458249733077166543e-01
8.657314629258516803e+00 -6.042406974620218030e-01 1.665044585571731350e-01
8.697394789579158569e+00 -6.308461248102547048e-01 1.890690953293066856e-01
8.737474949899798560e+00 -6.565600923442395098e-01 2.135074800156645802e-01
8.777555110220440326e+00 -6.813183788006929031e-01 2.397725286359576324e-01
8.817635270541082093e+00 -7.050606094938068891e-01 2.677776137656145417e-01
8.857715430861723860e+00 -7.277302458122218987e-01 2.973932747303645319e-01
8.897795591182363850e+00 -7.492745410208276891e-01 3.284446971762600143e-01
8.937875751503005617e+00 -7.696447755247263212e-01 3.607102655144784342e-01
8.977955911823647384e+00 -7.887962584570868962e-01 3.939213463245654911e-01
9.018036072144287374e+00 -8.066882008507604285e-01 4.277633392798732004e-01
9.058116232464929141e+00 -8.232836454923102565e-01 4.618781699963490084e-01
9.098196392785570907e+00 -8.385495127414104299e-01 4.958684130406071366e-01
9.138276553106212674e+00 -8.524566667950580490e-01 5.293031299668099487e-01
9.178356713426852664e+00 -8.649797125224711891e-01 5.617250280554839659e-01
9.218436873747494431e+00 -8.760969103105105127e-01 5.926591097004709763e-01
9.258517034068136198e+00 -8.857901100684391071e-01 6.216226326445800643e-01
9.298597194388777964e+00 -8.940448283767571391e-01 6.481364067289802078e-01
9.338677354709417955e+00 -9.008500413386598682e-01 6.717364477675341616e-01
9.378757515030059722e+00 -9.061980906328198637e-01 6.919861439728333119e-01
9.418837675350701488e+00 -9.100845801835859561e-01 7.084884098160388888e-01
9.458917835671341479e+00 -9.125084221854200539e-01 7.208977455198760653e-01
9.498997995991983245e+00 -9.134716780244983569e-01 7.289310057730064019e-01
9.539078156312625012e+00 -9.129794659101237997e-01 7.323769700611048039e-01
9.579158316633266779e+00 -9.110398741711956960e-01 7.311042170420110065e-01
9.619238476953906769e+00 -9.076639590322646001e-01 7.250670899845470529e-01
9.659318637274548536e+00 -9.028656514041750736e-01 7.143090324826906201e-01
9.699398797595190302e+00 -8.966616811962586642e-01 6.989633775162840124e-01
9.739478957915832069e+00 -8.890715300278029254e-01 6.792515075638760891e-01
9.779559118236472059e+00 -8.801173962820130203e-01 6.554782380620860494e-01
9.819639278557113826e+00 -8.698241434649846004e-01 6.280244816673167252e-01
9.859719438877755593e+00 -8.582192604534912839e-01 5.973376124579367064e-01
9.899799599198395583e+00 -8.453328451044651581e-01 5.639197789975093356e-01
9.939879759519037350e+00 -8.311975777216241701e-01 5.283144373725915388e-01
9.979959919839679117e+00 -8.158486540072166227e-01 4.910914848231311414e-01
1.002004008016032088e+01 -7.993237949153509936e-01 4.528321283469666780e-01
1.006012024048096087e+01 -7.816632438183827025e-01 4.141135616542110376e-01
1.010020040080160264e+01 -7.629097716645608651e-01 3.754941155594695434e-01
1.014028056112224441e+01 -7.431085529687762037e-01 3.374990554632679163e-01
1.018036072144288617e+01 -7.223072104605056110e-01 3.006085362947820694e-01
1.022044088176352616e+01 -7.005558120609282069e-01 2.652473085096538341e-01
1.026052104208416793e+01 -6.779069023131096827e-01 2.317767407305615923e-01
1.030060120240480970e+01 -6.544153123638112302e-01 2.004889398843141268e-01
1.034068136272544969e+01 -6.301381924168164561e-01 1.716040554199275425e-01
1.038076152304609145e+01 -6.051350034976752390e-01 1.452700132051554238e-01
1.042084168336673322e+01 -5.794675423369960443e-01 1.215646887503936818e-01
1.046092184368737499e+01 -5.531997143194878896e-01 1.005000676158623180e-01
1.050100200400801498e+01 -5.263974788859353549e-01 8.202861337308985090e-02
1.054108216432865675e+01 -4.991288423109203065e-01 6.605110055139619407e-02
1.058116232464929851e+01 -4.714638258251374059e-01 5.242543517071974329e-02
1.062124248496994028e+01 -4.434742589572824301e-01 4.097603393025855273e-02
1.066132264529058027e+01 -4.152335541529417751e-01 3.150345188204858177e-02
1.070140280561122204e+01 -3.868167071052421302e-01 2.379376858654336929e-02
1.074148296593186380e+01 -3.583001868256771583e-01 1.762727687232256216e-02
1.078156312625250379e+01 -3.297617560828480787e-01 1.278623886561125987e-02
1.082164328657314556e+01 -3.012800692117075241e-01 9.061509171417389541e-03
1.086172344689378733e+01 -2.729346529124052068e-01 6.257827285556502583e-03
1.090180360721442909e+01 -2.448057246213115878e-01 4.197718568172380260e-03
